Feature,Importance
card1,2454
TransactionAmt,2349
card2,2018
card1_card2_count,1929
addr1,1897
addr1_count,1762
card2_count,1680
card1_count,1520
D15,1315
id_31,1274
C13,1231
DeviceInfo,1230
dist1,1005
D2,934
card5,926
D10,919
hour,874
id_20,859
C1,845
P_emaildomain,831
TransactionAmt_decimal,825
D4,825
id_02,819
D8,772
D1,756
P_emaildomain_count,706
id_19,689
C2,568
C14,562
nulls_count,559
C11,554
day_of_week,545
card5_count,534
id_30,519
C6,489
dist2,457
V313,450
D11,450
DeviceInfo_count,445
id_06,442
C9,438
id_33,431
id_05,425
TransactionAmt_log,416
M5,412
M6,402
id_13,357
D3,348
V310,329
D14,329
id_01,312
D9,293
V307,279
D5,271
R_emaildomain_count,269
V83,252
V87,243
C5,240
R_emaildomain,232
V62,211
V315,207
V45,203
id_14,202
V38,201
id_18,199
D12,195
C8,194
V54,192
V314,191
card3_count,190
D6,190
V82,186
screen_width,186
screen_height,185
C12,183
screen_aspect_ratio,180
V320,170
P_emaildomain_bin,168
V317,163
M3,162
V308,161
V61,161
C10,161
V53,160
card6,159
V78,158
V165,158
D13,157
V86,156
V312,155
V311,153
V76,146
V281,145
id_03,145
V130,143
id_09,142
V77,136
V294,136
V75,134
identity_nulls_count,133
V13,131
id_38,131
V67,130
id_17,129
V127,128
V20,127
card3,123
V12,123
V44,123
M4,118
ProductCD,118
V55,116
C7,116
V35,116
V283,113
V136,112
V309,111
C4,111
V266,109
V5,109
V19,108
V36,107
M7,106
V285,104
screen_area,104
V306,99
M9,95
V152,92
V37,91
V258,89
V129,89
id_11,87
V131,83
V56,83
M8,80
V264,80
email_match,78
V48,77
V149,76
V66,74
V126,74
V277,73
V49,71
V316,71
V267,71
V261,71
V133,70
V234,68
V81,67
V318,67
V24,67
V296,66
V4,66
V282,66
V90,66
V256,66
V139,65
V291,64
C3,64
D7,63
M2,63
V52,63
V164,62
V70,62
V47,61
V187,61
V189,61
V26,59
V160,59
V150,59
V43,58
V91,58
id_08,58
V99,58
V265,57
V319,56
V159,56
V289,56
V221,55
V143,55
V29,55
card4,53
V332,52
V79,52
V270,52
V169,52
V321,51
V2,51
id_07,50
V74,50
R_emaildomain_bin,50
V209,49
V69,49
V156,49
V203,49
V259,49
V262,48
V263,47
V34,47
V7,46
V124,46
V224,46
id_21,45
V23,44
V128,44
V200,44
V257,43
V274,43
V30,43
V132,42
V135,42
id_16,42
V271,41
V102,40
id_37,40
V268,40
V207,39
V25,39
V245,39
V218,39
id_04,38
V85,38
V293,38
V278,38
V94,37
V288,37
V208,37
V51,36
V220,35
V10,35
V280,35
V137,35
V248,34
V300,34
id_32,34
V323,33
V3,33
addr2,33
V33,33
V272,33
V222,33
V134,32
V6,32
V276,32
V205,32
V243,32
V206,32
V166,32
V180,31
V40,31
V273,31
V287,30
V151,30
V64,29
V58,29
V96,29
V229,28
V109,28
V60,28
id_10,28
V115,28
V216,28
V162,28
V298,27
V295,27
V260,27
V140,26
V161,26
V301,26
V303,25
V230,25
V215,25
V204,25
V292,24
V59,24
V290,24
V242,24
V202,24
V253,24
V210,24
V214,24
V217,24
V11,24
V147,23
V279,23
V163,23
V178,23
V201,23
V145,23
V57,22
V170,22
V105,22
DeviceType,22
id_25,22
V46,22
id_26,22
V244,21
V73,21
V39,21
V154,20
V171,20
V329,20
V219,19
V211,19
V80,19
V142,19
V223,19
V251,18
V188,18
V338,18
V333,18
V42,18
V9,18
V213,18
V8,18
V72,18
V212,17
id_36,17
V158,17
V232,17
V144,16
addr2_count,16
V246,16
V335,16
V286,15
V199,15
V97,15
V326,15
V284,15
V297,15
V226,14
V304,14
V197,14
id_24,14
V254,13
V63,13
V275,13
V92,13
V123,13
V184,13
V125,13
V108,13
V18,13
V198,12
V249,12
V181,12
V190,12
V331,12
V22,12
V182,11
V176,11
V339,11
V302,11
V231,11
V157,11
id_28,10
V228,10
V168,10
V121,10
V238,10
V324,10
V336,10
V50,9
V250,9
V175,9
V172,9
V247,9
V194,9
V15,9
V235,9
V236,9
V299,8
V148,8
V255,8
V186,8
V177,8
V116,8
V146,8
V100,8
V192,7
V233,7
V16,7
V103,7
V227,7
V93,7
V31,7
V334,7
V155,7
id_15,6
V95,6
V17,6
V337,6
V141,6
V84,6
V104,5
V101,5
V195,5
V328,5
V32,5
V173,5
V196,5
V239,5
V112,5
id_35,4
M1,4
V237,4
V322,4
V183,4
V185,4
V193,4
V21,4
id_12,4
V167,3
V179,3
V71,3
id_23,3
V330,3
V111,3
V225,3
V106,3
V174,3
V110,2
V114,2
V14,2
V269,2
V327,2
V191,1
V252,1
V1,1
V240,1
V153,1
V98,1
V118,1
id_34,0
V107,0
V113,0
V241,0
V68,0
V65,0
V41,0
V89,0
V88,0
V138,0
V325,0
V305,0
V27,0
V28,0
V119,0
V122,0
V120,0
V117,0
id_22,0
id_29,0
id_27,0
browser_name,0
os_name,0
