Threshold,Precision,Recall,F1,PR-AUC,FP,FN,ExpectedCost,NetBenefit
0.05,0.352015732546706,0.7061143984220908,0.46981627296587924,0.6184592781988624,3954,894,193410.0,262890.0
0.1,0.5255453501722158,0.6019066403681789,0.5611400551639596,0.6184592781988624,1653,1211,206445.0,249855.0
0.15,0.6259946949602122,0.5430637738330046,0.5815877486358035,0.6184592781988624,987,1390,223305.0,232995.0
0.2,0.6968593536640874,0.5032873109796187,0.5844626837182668,0.6184592781988624,666,1511,236640.0,219660.0
0.25,0.751578947368421,0.46942800788954636,0.5779036827195467,0.6184592781988624,472,1614,249180.0,207120.0
0.3,0.7943429581614614,0.443129520052597,0.5688963916438067,0.6184592781988624,349,1694,259335.0,196965.0
0.35,0.8189326556543838,0.4237343852728468,0.5584922010398613,0.6184592781988624,285,1753,267225.0,189075.0
0.4,0.8398625429553265,0.4017094017094017,0.5434734267289304,0.6184592781988624,233,1820,276495.0,179805.0
0.45,0.8634361233480177,0.3865877712031558,0.5340599455040872,0.6184592781988624,186,1866,282690.0,173610.0
0.5,0.8817966903073287,0.3678500986193294,0.5191370911621433,0.6184592781988624,150,1923,290700.0,165600.0
0.6,0.9117911791179117,0.3330046022353715,0.48784011557909945,0.6184592781988624,98,2029,305820.0,150480.0
0.7,0.934375,0.2948717948717949,0.4482758620689655,0.6184592781988624,63,2145,322695.0,133605.0
0.8,0.9422604422604423,0.25213675213675213,0.39782157676348545,0.6184592781988624,47,2275,341955.0,114345.0
0.9,0.9506802721088435,0.18376068376068377,0.30798898071625347,0.6184592781988624,29,2483,372885.0,83415.0
